id,year,majortopic,subtopic 
1082,1986,1,105
1083,1986,0,0
1084,1986,15,1526
1085,1986,5,503
1086,1986,16,1608
1087,1986,6,602
1088,1986,0,0
1089,1986,0,0
1090,1986,3,399
1091,1986,1,104
1092,1986,0,0
1093,1986,1,107
1094,1986,15,1504
1095,1986,0,0
1096,1986,20,2004
1097,1986,0,0
1098,1986,1,107
1099,1986,0,0
1100,1986,0,0
1101,1986,5,503
1102,1986,6,606
1103,1986,1,104
1104,1986,15,1523
1105,1986,1,107
1106,1986,12,1210
1107,1986,1,107
1108,1986,15,1500
1109,1986,0,0
1110,1986,20,2004
1111,1986,20,2003
1112,1986,20,2011
1113,1986,0,0
1114,1986,5,503
1115,1986,18,1803
1116,1986,2,200
1117,1986,20,2099
1118,1986,20,2001
1119,1986,0,0
1120,1986,0,0
1121,1986,16,1608
1122,1986,3,325
1123,1986,15,1502
1124,1986,1,107
1125,1986,20,2003
1126,1986,12,1200
1127,1986,15,1505
1128,1986,15,1522
1129,1986,12,1201
1130,1986,15,1599
1131,1986,12,1200
1132,1986,19,1906
1133,1986,5,500
1134,1986,15,1500
1135,1986,13,1300
1136,1986,2,208
1137,1986,15,1500
1138,1986,1,107
1139,1986,1,107
1140,1986,13,1302
1141,1986,1,107
1142,1986,7,711
1143,1986,10,1002
1144,1986,0,0
1145,1986,0,0
1146,1986,0,0
1147,1986,0,0
1148,1986,20,2004
1149,1986,12,1204
1150,1986,5,503
1151,1986,15,1500
1152,1986,10,1002
1153,1986,20,2000
1154,1986,15,1500
1155,1986,13,1300
1156,1986,0,0
1157,1986,2,208
1158,1986,8,802
1159,1986,0,0
1160,1986,6,601
1161,1986,0,0
1162,1986,20,2001
1163,1986,0,0
1164,1986,10,1000
1165,1986,13,1300
1166,1986,6,607
1167,1986,0,0
1168,1986,8,803
1169,1986,5,502
1170,1986,1,107
1171,1986,0,0
1172,1986,13,1303
1173,1986,19,1910
1174,1986,7,705
1175,1986,20,2012
1176,1986,15,1599
1177,1986,10,1003
1178,1986,13,1300
1179,1986,6,606
1180,1986,15,1525
1181,1986,5,503
1182,1986,21,2104
1183,1986,6,602
1184,1987,1,107
1185,1987,0,0
1186,1986,1,107
1187,1987,0,0
1188,1987,0,0
1189,1987,0,0
1190,1987,0,0
1191,1987,0,0
1192,1987,1,107
1193,1987,0,0
1194,1987,8,805
1195,1987,10,1007
1196,1987,0,0
1197,1987,0,0
1198,1987,0,0
1199,1987,15,1500
1200,1987,13,1300
1201,1987,0,0
1202,1987,1,107
1203,1987,15,1502
1204,1987,15,1520
1205,1987,1,107
1206,1987,20,2004
1207,1987,15,1599
1208,1987,0,0
1209,1987,15,1502
1210,1987,0,0
1211,1987,16,1608
1212,1987,13,1308
1213,1987,13,1300
1214,1987,7,700
1215,1987,12,1210
1216,1987,0,0
1217,1987,0,0
1218,1987,0,0
1219,1987,0,0
1220,1987,13,1300
1221,1987,1,107
1222,1987,1,105
1223,1987,10,1007
1224,1987,10,1007
1225,1987,19,1921
1226,1987,12,1210
1227,1987,15,1500
1228,1987,1,107
1229,1987,13,1304
1230,1987,1,107
1231,1987,0,0
1232,1987,15,1500
1233,1987,15,1525
1234,1987,0,0
1235,1987,0,0
1236,1987,12,1210
1237,1987,12,1210
1238,1987,15,1504
1239,1987,5,503
1240,1987,0,0
1241,1987,15,1500
1242,1987,0,0
1243,1987,20,2099
1244,1987,6,602
1245,1987,13,1302
1246,1987,5,501
1247,1987,0,0
1248,1987,0,0
1249,1987,0,0
1250,1987,0,0
1251,1987,20,2001
1252,1987,0,0
1253,1987,0,0
1254,1987,5,502
1255,1987,12,1205
1256,1987,16,1608
1257,1987,0,0
1258,1987,23,2300
1259,1987,0,0
1260,1987,10,1003
1261,1987,0,0
1262,1987,0,0
1263,1987,15,1505
1264,1987,1,107
1265,1987,2,208
1266,1987,6,606
1267,1987,16,1608
1268,1987,5,503
1269,1987,6,601
1270,1987,12,1204
1271,1987,6,602
1272,1987,12,1204
1273,1987,21,2101
1274,1987,4,408
1275,1987,12,1204
1276,1987,0,0
1277,1987,0,0
1278,1987,15,1520
1279,1987,14,1406
1280,1987,16,1604
1281,1987,0,0
1282,1987,15,1525
1283,1987,2,202
1284,1987,5,502
1285,1987,13,1300
1286,1987,1,107
1287,1987,15,1500
1288,1987,0,0
1289,1987,0,0
1290,1987,0,0
1291,1987,15,1522
1292,1987,12,1204
1293,1987,15,1522
1294,1987,0,0
1295,1987,0,0
1296,1987,5,501
1297,1987,12,1202
1298,1987,5,502
1299,1987,10,1003
1300,1987,8,803
1301,1987,0,0
1302,1987,0,0
1303,1987,3,321
1304,1987,12,1204
1305,1987,5,505
1306,1987,18,1807
1307,1987,0,0
1308,1987,15,1500
1309,1987,16,1615
1310,1987,6,601
1311,1987,12,1204
1312,1987,10,1000
1313,1987,0,0
1314,1987,21,2104
1315,1987,12,1299
1316,1987,0,0
1317,1987,16,1608
1318,1987,20,2001
1319,1987,0,0
1320,1987,0,0
1321,1987,6,601
1322,1987,5,502
1323,1987,13,1304
1324,1987,13,1302
1325,1987,0,0
1326,1987,0,0
1327,1987,0,0
1328,1987,0,0
1329,1987,12,1204
1330,1987,0,0
1331,1987,0,0
1332,1987,8,801
1333,1987,1,107
1334,1987,6,606
1335,1987,16,1608
1336,1987,20,2008
1337,1987,19,1925
1338,1987,12,1208
1339,1987,15,1504
1340,1987,0,0
1341,1987,0,0
1342,1987,0,0
1343,1987,0,0
1344,1987,0,0
1345,1987,0,0
1346,1987,0,0
1347,1987,0,0
1348,1987,0,0
1349,1987,0,0
1350,1987,0,0
1351,1987,0,0
1352,1988,2,202
1353,1987,14,1400
1354,1987,4,405
1355,1987,6,602
1356,1987,6,601
1357,1987,5,503
1358,1987,12,1210
1359,1988,20,2001
1360,1987,6,606
1361,1987,0,0
1362,1987,0,0
1363,1987,0,0
1364,1988,1,107
1365,1988,1,107
1366,1988,0,0
1367,1988,0,0
1368,1988,0,0
1369,1988,0,0
1370,1988,13,1304
1371,1988,1,107
1372,1988,12,1201
1373,1988,0,0
1374,1988,1,107
1375,1988,20,2001
1376,1988,8,801
1377,1988,0,0
1378,1988,0,0
1379,1988,0,0
1380,1988,6,602
1381,1988,20,2003
1382,1988,19,1929
1383,1988,6,602
1384,1988,7,711
1385,1988,14,1400
1386,1988,0,0
1387,1988,14,1406
1388,1988,19,1900
1389,1988,6,602
1390,1988,6,602
1391,1988,12,1204
1392,1988,6,604
1393,1988,7,701
1394,1988,6,600
1395,1988,15,1522
1396,1988,13,1399
1397,1988,12,1210
1398,1988,12,1204
1399,1988,0,0
1400,1988,0,0
1401,1988,12,1208
1402,1988,0,0
1403,1988,1,107
1404,1988,20,2004
1405,1988,0,0
1406,1988,0,0
1407,1988,0,0
1408,1988,0,0
1409,1988,0,0
1410,1988,0,0
1411,1988,0,0
1412,1988,0,0
1413,1988,0,0
1414,1988,0,0
1415,1988,2,200
1416,1988,5,503
1417,1988,0,0
1418,1988,20,2004
1419,1988,12,1204
1420,1988,0,0
1421,1988,0,0
1422,1988,0,0
1423,1988,0,0
1424,1988,0,0
1425,1988,12,1201
1426,1988,6,602
1427,1988,2,206
1428,1988,0,0
1429,1988,0,0
1430,1988,0,0
1431,1988,0,0
1432,1988,0,0
1433,1988,20,2099
1434,1988,18,1803
1435,1988,6,606
1436,1988,19,1921
1437,1988,0,0
1438,1988,1,107
1439,1988,0,0
1440,1988,0,0
1441,1988,10,1007
1442,1988,10,1007
1443,1988,5,503
1444,1988,7,705
1445,1988,1,107
1446,1988,12,1204
1447,1988,0,0
1448,1988,10,1003
1449,1988,13,1300
1450,1988,13,1308
1451,1988,15,1599
1452,1988,14,1401
1453,1988,0,0
1454,1988,7,704
1455,1988,7,704
1456,1988,12,1299
1457,1988,16,1608
1458,1988,6,601
1459,1988,0,0
1460,1988,0,0
1461,1988,0,0
1462,1988,0,0
1463,1988,0,0
1464,1988,0,0
1465,1988,0,0
1466,1988,0,0
1467,1988,0,0
1468,1988,0,0
1469,1988,0,0
1470,1988,19,1929
1471,1988,17,1706
1472,1988,20,2003
1473,1988,20,2003
1474,1988,12,1205
1475,1988,8,801
1476,1988,10,1003
1477,1988,2,208
1478,1988,3,399
1479,1988,13,1303
1480,1988,0,0
1481,1988,6,699
1482,1988,19,1921
1483,1988,0,0
1484,1988,23,2300
1485,1988,13,1308
1486,1988,16,1605
1487,1988,6,601
1488,1988,1,107
1489,1988,20,2001
1490,1988,20,2001
1491,1988,0,0
1492,1988,18,1899
1493,1988,7,711
1494,1988,5,503
1495,1988,20,2001
1496,1988,12,1299
1497,1988,15,1525
1498,1988,20,2001
1499,1988,0,0
1500,1988,0,0
1501,1988,6,604
1502,1988,18,1803
1503,1988,13,1302
1504,1988,14,1499
1505,1988,12,1207
1506,1988,13,1305
1507,1988,2,202
1508,1988,6,601
1509,1988,5,503
1510,1988,15,1504
1511,1988,6,602
1512,1988,12,1299
1513,1988,6,602
1514,1988,2,200
1515,1988,15,1500
1516,1988,21,2100
1517,1988,4,499
1518,1988,1,107
1519,1988,12,1208
1520,1988,5,502
1521,1988,15,1523
1522,1988,6,699
1523,1988,14,1400
1524,1988,15,1500
1525,1988,9,900
1526,1988,6,602
1527,1988,6,606
1528,1988,15,1500
1529,1988,13,1308
1530,1988,20,2001
1531,1988,6,604
